sentence,Sentiments,Bayes
The increase in fuel prices welcomes a series of demonstrations in many parts of Indonesia,Positif,Positif
The demonstration refused to increase prices and ended in chaos,Negatif,Negatif
whaaatskok wants to bem the archipelago to be tight on management so we have to focus on resisting increases in electricity prices,Netral,Positif
The impact of rising prices requires the community to be affected,Negatif,Positif
"Dartanto is firm in his words according to the price wise form, whether the APBN deficit sells every period of government, the subsidy blt is right on target",Positif,Positif
There will be compensation for social security because it matches the price,Positif,Positif
"the price of the country's fiscal health, Kholid Syeirazi, has really risen, the price of fuel has really risen wisely, it's hard to avoid the government, the blt subsidies are right on target",Positif,Positif
order to monitor the rate of inflation due to rising prices,Netral,Netral
"Meanwhile, according to prices, the government is monitoring the rate of inflation due to rising prices",Netral,Netral
"The Pertalite diesel subsidy is much more economical, so the price of the BLT subsidy is right on target",Netral,Netral
Indonesian prices are cheap compared to several neighboring countries. BLT subsidies are right on target,Netral,Netral
The public feels that there is an order according to the subsidy price according to the economy. The subsidy is right on target,Netral,Positif
"The conflict between Russia and Ukraine over the production of crude oil supplies between the two countries is hampered, so world oil prices are rising, one of the reasons for the increase in subsidies is on target.",Negatif,Negatif
"The price increase order has quite a lot of implications in the macroeconomic context, the subsidies are right on target",Positif,Positif
The aim of the order to increase the price has quite a lot of implications in the macroeconomic context of the subsidyblt right on target,Positif,Positif
"subsidyblt right on target, orders according to basic price, lots of considerations",Netral,Netral
"Executive Director of Energy Watch, Mamit Setiawan, said the order was sold according to price since the subsidyblt was on target",Positif,Positif
"wisely, the president has to match the price of goods and the BLT channel is more targeted so that it is the right solution. Congratulations, the APBN subsidy BLT is right on target",Positif,Positif
"The price increase order has quite a lot of implications in the macroeconomic context, which means that the BLT subsidy is right on target",Positif,Positif
according to the order price and even provide social security compensation,Positif,Positif
"Indonesian prices are cheap compared to several neighboring countries, subsidies are on target",Netral,Netral
"Agreed that it would definitely be wise to increase the price of subsidies for the bitter pill of health, the state's fiscal subsidies are on target",Positif,Positif
agree that it is wise to increase the price of subsidies for bitter pills to swallow healthy fiscal state subsidies are right on target subsidiesblt are on target,Positif,Positif
Blunt subsidies are right on target. Adjustments are a long-term way to anticipate rising world oil prices,Netral,Netral
according to the price of fish compensation in the form of food,Netral,Positif
"The price of Pertalite diesel subsidies is far from the economy Pertamax. Indeed, the general Pertamax BLT subsidy is right on target",Netral,Netral
Orders according to the price of Pertalite Diesel Pertamax fuel oil for subsidy over social assistance plus subsidyblt are right on target,Netral,Netral
rise in the price of fuel oil looks smart and difficult to avoid government subsidiblt on target,Negatif,Positif
"it's bound to be difficult to take bigger important orders, we fully support wise orders according to transfer prices, additional social assistance subsidies, blt subsidies, right on target",Positif,Positif
I'm sure it's wise to order basic price adjustments to weigh in on public subsidies and blt is right on target,Positif,Positif
"The price of Pertalite diesel subsidies is far economic, Pertamax is indeed the general Pertamax subsidy, blt is right on target",Netral,Netral
"I agree that the policy of increasing the price of the subsidy, the bitter pill to swallow the state's fiscal health, the blt subsidy is right on target",Negatif,Positif
"Is it true that the general chairman of the PBNU supports wisely ordering matters according to transfer prices, additional social assistance subsidies, blt subsidies are right on target",Positif,Positif
"The price increase order has quite a lot of implications in the macroeconomic context, which really aims for targeted subsidies",Positif,Positif
BLT subsidy is right on target. Efforts to take orders are indeed difficult as the important price is greater,Positif,Positif
"Prices must increase since the public cannot afford the benefits, not the right to subsidize them on target",Positif,Positif
It's true that the price of Pertalite diesel subsidies has gone down considerably. Pertamax's economy is indeed the general Pertamax subsidy on target,Positif,Positif
Everyone understands that the order to increase the BLT subsidy price is right on target,Positif,Positif
also suitable for the new sale price and seems to be subsidized on target,Netral,Netral
"It's true that the price of subsidized Pertalite diesel is much economic, Pertamax is indeed the general Pertamax subsidy, blt is right on target",Positif,Netral
Orders to take wisely are difficult to increase BLT subsidy prices right on target,Positif,Positif
The government's targeted BLT subsidy has been selling according to price since,Netral,Positif
"Executive Director of Energy Watch, Mamit Setiawan, said that the order to sell according to price has always been on target",Positif,Positif
"As a result of the Russian-Ukrainian conflict, production of crude oil supplies between the two countries was hampered, so world oil prices rose, one of the reasons for the increase in BLT subsidies was on target.",Negatif,Negatif
The public feels that there is an order according to the subsidized price according to the economy. The subsidy is right on target,Netral,Positif
"Strongly agree with the wise order to increase the price of subsidies, the bitter pill to swallow the state's fiscal health, blt subsidies are right on target",Positif,Positif
"BLT subsidies are right on target, adjusting prices is very sensitive, so the government is very careful",Positif,Positif
"while following the command price, continue to sell, monitor the rate of inflation and always maintain continued support",Positif,Positif
the order continues to monitor the rate of inflation to keep watch due to rising prices,Netral,Netral
"according to the price wise form, whether the APBN deficit is sold every period, the subsidy blt order is right on target",Positif,Positif
The price increase order is pretty much in the macroeconomic context of the BLT subsidy right on target,Positif,Positif
The state's fiscally healthy price adjustments for BLT subsidies are right on target,Positif,Positif
"agreed that the policy of increasing the price of subsidies for bitter pills is healthy, the state's fiscal BLT subsidies are right on target",Positif,Positif
"The BLT subsidy is right on target, the price adjustment just sells and then it's like weighing",Positif,Positif
"according to the price, fiscal safety, the BLT subsidy is right on target",Positif,Positif
Orders according to the price of Pertalite Diesel Pertamax BLT subsidies are on target,Netral,Netral
"I'm sure it's wise to order the basic price adjustments to be more weighed in by the public. The subsidy is right on target, boss. The subsidyblt is right on target",Positif,Positif
"Compensation for the increase in fuel prices is one of the ways to help subsidize wages, bsu orders to sell at prices according to social regulations",Positif,Positif
"according to the government's price, the fish will be compensated with social regulations",Netral,Netral
"The price increase order has quite a lot of implications in the macroeconomic context, which is very burdensome for society. The subsidies are right on target",Negatif,Positif
"According to the price, the government's efforts to maintain the importance of greater BLT subsidies are right on target",Positif,Positif
"Pbnu general chairman kh yahya cholil staquf understand that it is wise to order price increases such that choosing is difficult in the midst of a situation of light assistance, increased burden on the government, subsidies, blt on target",Negatif,Positif
"according to the basic price, lots of consideration, not only maintaining the stability of the APBN, spurring community prosperity and readiness to support fencing to resolve other problems, blt subsidies are right on target",Positif,Positif
"According to the new price, it sells and then weighs the impact of increasing people's purchasing power, economic growth, good calculations, subsidies blt on target",Positif,Positif
according to the order price for social security compensation fish,Positif,Positif
local hacker but lower the price,Negatif,Netral
"the economy is now solid, inflation is too big, it tends to fall, now the momentum is in line with fuel prices, hopefully the solution is right, the blt subsidy is right on target",Positif,Positif
"The subsidized price of Pertalite diesel is much more economical, so the BLT subsidy price is right on target",Netral,Netral
"according to the price of Airlangga, the fish will receive compensation per Linsos",Netral,Netral
"As for price matching, it is a long-term way to anticipate increases in world oil prices. Subsidyblt is right on target",Netral,Netral
"The order to increase prices has quite a lot of implications, macroeconomics, the APBN is healthier, both are in line with prices, reduce consumption, reduce fuel imports, subsidies, blt, right on target",Positif,Positif
The price increase order has quite a lot of implications in the macroeconomic context and subsidies are right on target,Positif,Positif
according to the new price it sells then as a consideration the blt subsidy is right on target,Netral,Netral
"according to the price it has been selling for a long time, the BLT subsidy is right on target",Netral,Positif
"intelligently increase the price, behave, order, look, choose, difficult, in the middle of a strange situation, inform the order to increase, say, yes, subsidiblt, right on target",Positif,Positif
The BLT subsidy is right on target to adjust the market price of the people's country,Netral,Positif
subsidy right on target middle high world oil prices heavy final state budget order sell according to fuel price subsidyblt on target,Netral,Positif
"The Russian-Ukrainian conflict over the production of crude oil supplies between the two countries is hampered, so world oil prices are rising, one of the reasons for the increase in cuy subsidies is on target.",Negatif,Negatif
"Official order according to the price of Pertalite Diesel Pertamax fuel oil for subsidy over additional social assistance, this subsidy is right on target, blt subsidy is right on target",Netral,Netral
"The final price of subsidized Pertalite diesel is much more economical, so the BLT subsidy price is right on target",Netral,Positif
"The BLT subsidy is right, the suggestion is important, it is bigger according to the price of taking orders",Positif,Positif
"The price of Pertalite diesel subsidies is much economic, Pertamax is indeed the general Pertamax, the subsidy blt is right on target",Netral,Netral
I'm sure it's wise to order wise price adjustments to transfer basic social assistance subsidies to a lot of public input. Blunt subsidies are right on target,Positif,Positif
"gin guys, price adjustments for goods and BLT channels are more targeted, so the right solution, congratulations, the BLT subsidy APBN is on target",Positif,Positif
subsidyblt is right on target. Indonesian prices are cheap compared to several neighboring countries,Netral,Netral
I hope the price will reach the subsidized target,Positif,Positif
"I am very confident that the order will be wise to adjust the basic price with lots of consideration for public subsidies for the small people, but the subsidy blt is right on target",Positif,Positif
"Indonesian prices are cheap compared to several neighboring countries, subsidies are on target",Netral,Netral
BLT subsidies that are right on target should first sell according to price,Netral,Netral
"consider wise medicine to increase the price of the subsidized bitter pill to swallow healthy, the state's fiscal subsidies are right on target",Positif,Positif
"according to the price it has been selling for a long time, the BLT subsidy is right on target",Netral,Positif
"The price increase order has quite a lot of implications in the macroeconomic context, which is very representative of the people who want subsidies to be right on target",Positif,Positif
really shocked by the price soaring so high that the price of subsidized Pertalite diesel is so much economical then according to the subsidy price blt is right on target,Negatif,Positif
"The price increase order has quite a lot of implications in the macroeconomic context, making it increasingly difficult for subsidies to be on target",Negatif,Positif
"It's wise to increase the price of subsidies, the bitter pill to swallow is healthy, the state's fiscal BLT subsidy is right on target",Positif,Positif
"This is really aimed at. The price of subsidized Pertalite diesel is far from the economics of Pertamax. Indeed, the general Pertamax subsidy blt is right on target",Netral,Netral
The price increase order has quite a lot of implications in the macroeconomic context and subsidies are right on target,Positif,Positif
"Blunt subsidies are right on target, apart from Indonesian prices being cheap compared to several neighboring countries",Netral,Netral
Compensation for rising fuel prices is one of the ways to help subsidize BSU wages,Positif,Positif
Be sure to be wise in ordering the matter according to the transfer price of the social assistance subsidy and then reviewing it in depth. The BLT subsidy is right on target,Positif,Positif
The BLT subsidy is right according to the community's suggestion that there is an order according to the subsidy price according to the economy,Netral,Positif
"according to the selling price first, the BLT subsidy is right on target",Netral,Netral
"I'm a little surprised that the current price has soared, the price of subsidized Pertalite diesel is much more economical, so the subsidy price for BLT is right on target",Positif,Positif
"wisely according to the price together with the BLT channel, it is more precisely targeted, so the right solution, congratulations, the BLT subsidy APBN is right on target",Positif,Positif
"BLT subsidies are right on target, price adjustments really need to be sold",Netral,Positif
"breaking up is very difficult, the hook order is wise according to the price, thank God, it is wise, the social assistance subsidy has been added, the subsidy blt is right on target",Positif,Positif
"price increases are healthy, the state's fiscal BLT subsidy is right on target",Positif,Positif
"appropriate and long-term way to anticipate rising world oil prices, BLT subsidies are right on target",Netral,Netral
"I really agree that the subsidized price of Pertalite diesel is much more economical, so according to the subsidized blt price it is right on target",Positif,Positif
"Russia-Ukraine conflict over crude oil supply production between two countries is hampered so world oil prices rise, one of the reasons for the increase in subsidies is on target.",Negatif,Negatif
"The mandate of value according to price has been selling for a long time, the BLT subsidy is right on target",Positif,Positif
"In comparison, Indonesia is a country with low prices and BLT subsidy funds are right on target",Negatif,Positif
Monitor inflation as prices rise and remain stable,Positif,Netral
"according to the price, it's a safe solution for APBN. I hope BLT is right on target. It will benefit many agencies involved in collecting data on subsidies. BLT is right on target.",Positif,Positif
"According to the price, the BLT subsidy is right on target",Netral,Netral
"many don't match the subsidy price, change it immediately, say the BLT subsidy is right on target",Netral,Positif
"on the story of the hard struggle of the nation's children who are now successful, earning billions a month, hopefully the children of other nations will have a fighting spirit, story on the note, prices according to the country, it's better to believe",Positif,Negatif
the people are forced to pay the state debt and then the prices of the bastard regime increase,Negatif,Negatif
poor people have already gone up fuel prices just go up and up don't remember how to sell prices go up,Negatif,Negatif
The police chief clearly provided assistance to help with basic food needs to lighten the burden on the community due to rising prices,Positif,Positif
Actively taking concrete steps to prove that the police care about the impact of price increases on the community,Positif,Positif
Thousands of students are protesting against price increases in the East Kalimantan DPRD,Negatif,Negatif
"try to debate, the price is going up",Netral,Netral
"rose in almost all lines, prices of goods and services rose, even gas rose several times, even business components such as plastic rose several times, really cool for selfish businesses when the crisis began, God's blessings are never wrong",Positif,Negatif
"It's the same, sir, market price subsidies are going up even though price subsidies are going down",Netral,Positif
"Diri police are like patrols monitoring gas stations, the Self sub-district head is paying attention to security and social security after the increase in subsidy prices",Positif,Positif
"It's not stupid for rich people to buy online motorcycle taxis for small people, the effect of all prices going up is that rich people are stupid to buy Pertalite",Positif,Positif
"Panicking at Bjorka, form a Sus team to change the issue of rising prices, hope Bjorka really attacks and opens up the ravages of injustice in the country of Prindavan",Negatif,Negatif
"Says it's true, it's true, it's stupid, it's forbidden to teach Jakarta students to take part in demonstrations against the increase in teaching prices, it's a big hit",Positif,Positif
It's better to form a special team to reduce prices,Positif,Positif
"meaning doesn't exist, let's focus on increasing prices",Netral,Netral
ccdantuh say that you are not capable of working because prices have gone up in the past,Negatif,Negatif
"Jakarta, public transport fares are also increasing even though prices are rising, he said, fortunately the residents use public transport, good luck, only now using it due to the drastic increase in prices",Positif,Positif
"As long as you can say that the subsidy is capable of holding back price increases, you're just stupid",Negatif,Negatif
Crowded Twitter Bogor Demo Price Drop Active Today Sis,Positif,Netral
"Yes, let's just say yes, Opung will send the president's instructor to lower the price",Positif,Positif
The impact of the increase in the price of agricultural fuel oil is mainly related to the distribution of diesel for agricultural equipment. The incentive scheme for agricultural equipment is ready,Positif,Positif
"Look, because with the president, fuel prices have increased so that the media no longer covers the sambo case, don't sambo be free but you know",Negatif,Negatif
"add blagu all Indonesian civil servants promise to increase their salaries, sir, inter mil president, ehh, I'm wrong, sorry, Mr. Erik Tohir, regarding the impact of the increase in fuel prices in the private sector, maha ayeeeng, please think, oge sateeeh, you are in charge here",Positif,Positif
Jakarta students are prohibited from taking part in demonstrations against the increase in teaching prices in one fell swoop,Positif,Negatif
Raise prices instead of directing regional heads to control inflation,Netral,Netral
then if world oil prices are below the assumption that prices will change within one year of the APBN period,Netral,Netral
active in providing social assistance for the Sanggau Police Department and the Kapuas Tayan downstream Parindu police for underprivileged communities with an impact according to the price of Sanggau Regency,Positif,Positif
demos in volumes criticizing price increases heard Jokowi,Negatif,Netral
"history of price increases during the Indonesian government's era, price increases have always been popular during Indonesia's leadership period, the following is the track record for prices from the era of presidents Soekarno to Jokowi",Positif,Positif
The palace's response to the wave of demonstrations against continued price increases is via,Netral,Netral
Many foreign media highlighted the rise in Indonesian prices,Netral,Netral
Help hopefully reduce the burden on society due to rising prices,Positif,Positif
Adjust the same price,Netral,Netral
"if it's the same as the small one, it's time for the price to go up",Netral,Positif
"all elements of society cannot afford the increase in world oil prices while the rocket is going down, it's totally wrong, help, I'm starting to want to bite my master, that's not true.",Negatif,Negatif
"How stupid is the cost of living in Vietnam, Indonesia, how big it is, then raise basic commodities, who are the people raising prices?",Negatif,Negatif
"Is it sophisticated, its a simple thing of sophisticated design, it's a breakthrough, for example, the national debt is paid off, dropping below Malaysian prices",Positif,Positif
How are all the prices going up? Thank you,Positif,Netral
Jokowi hears students' aspirations to reject fuel price increases,Negatif,Netral
Thank God the price has gone up via,Positif,Positif
"Filling Pertamax is currently increasing in price to make you look cooler, but your face doesn't have to act cool",Positif,Positif
Demonstration against rising prices in Jakarta ends in chaos,Negatif,Netral
"the issue of the military body regarding the disharmony of the army chief's chief of staff when the DPR was appointed to raise prices to discuss army fencing was closed to discuss the issue so it was open increase in fencing for all agencies accompanied by price increases, remove subsidies discussed",Positif,Positif
"The classic method of stealing state treasures is that the rotten mouths of Senayan's politicians can believe it or not work but they scream for funds, then how long do they work, keep quiet, prices go up high, keep quiet, corruptors are free from conditions, then take office, be sane, have brains, etc.",Negatif,Negatif
"SJK has a bad mouth, a paid agitator who believes that he is crazy about twisting the facts, Anies' achievements are very different from the previous governor's achievements, he never finished managing JKT, evidence of Pertamina's losses and the regime's price increases",Negatif,Negatif
"The price of LPG electricity needs everything to go up, instead the mouth of the sewer just shuts down, you little pig",Netral,Netral
"It's true that many Indonesians don't accept it, so the rich say they can afford it once they follow the market price, no subsidies, control the transfer of subsidies",Positif,Positif
"what are you doing with the demonstration, the basis of calculations is how much is reasonable if you follow market prices, so the basis for the demonstration is that American prices are going up and down, bondo is reckless, basically shouting loudly, slogans to defend the little people",Negatif,Negatif
Demonstration against rising prices in Jakarta ends in chaos echoing via,Negatif,Negatif
The Lebak Transportation Department is currently calculating the appropriate transportation rates due to the increase in fuel prices,Positif,Positif
"Malang Police distributes assistance to residents with basic necessities, according to the price of basic necessities, provides transport for TNBTS tours",Netral,Netral
KSP Jokowi hears students' aspirations to reject price increases,Negatif,Netral
"prices go up, help everyone work, keep helping me, I'm sorry",Positif,Positif
"import subsidy costs, the people feel comfortable, cheap prices, subsidies can result in debts, for decades the country has deliberately suspended imports for additional refinery capacity",Positif,Negatif
Indonesian farmers' union refuses to raise prices,Netral,Netral
"Caring for residents regarding the impact of rising prices for the military and police, together with Forkopimda, distribution of social assistance for basic food packages",Positif,Netral
"Keep monitoring the sambo case, focus prices, please, netijen",Positif,Netral
"The solution is free, the price of affinity is reduced, and the people need it more",Positif,Positif
President Jokowi instructs regional heads to use APBD based on price impacts,Netral,Netral
"It's like Bjorka just changed the issue, I mean before Bjorka, the Sambo case and the prices have gone up, there's been a lot of talk since Bjorka, the prices haven't even gone up",Positif,Positif
"Who said Mr. Jokowi was lying, it was true that in September the price rocket was true",Positif,Negatif
prices rise wages rise,Netral,Netral
"the public transportation goes up straight away, it's fast, the price changes, it goes down, it doesn't go down, it goes up every year, the more swollen the motorbikes are, the crazier the price is, using a tj, it's not strong enough to travel very far, using the MRT, the reach is limited, it's better to fix the public transportation",Positif,Positif
It's even more rude to increase the price of zer,Negatif,Positif
Cipayung plus Seram district for the east refuses to increase subsidy prices,Positif,Positif
The acting chairman of PIM DS and students held a discussion regarding the Deli Serdang police chief regarding high hull prices,Netral,Positif
"Prices have gone up, demo, instead burning petas, burning tires is more expensive, just pertalite",Netral,Netral
"elements of society refuse to increase Indonesian prices, hopefully prices will go down, Haris must",Positif,Positif
The demonstration against rising prices in Jakarta ended in chaos,Negatif,Negatif
DPD asked the OJK to strictly monitor the crowds of people selling loans after the increase in subsidy prices,Positif,Positif
"Gas station prices have gone up, making it even busier, guys",Netral,Netral
"Come on, take part in the action against rising prices as prices return to stability during Mr. Sby's era",Netral,Netral
The demonstration to increase KSP prices will ensure that Jokowi will hear the aspirations of the people,Positif,Positif
Price increases at Pertamina always make a loss,Negatif,Netral
"the price keeps going up since you want to cast a love spell, your self-esteem keeps going down",Positif,Positif
Moeldoko claims that the demonstration against price increases is conducive,Positif,Positif
Jakarta horse statues began to show up to demonstrate against price increases,Netral,Netral
The president asked the regional government to hesitate in resolving the regional budget allocation according to the price. The order issued a clear legal umbrella and then regulated the minister of money. Circular letter from the Minister of State,Positif,Positif
"prices rose, the crowd of demonstrators packed the horse statue until evening Joglosemar news",Netral,Netral
Deputy Governor Emil appreciates the price of students carrying out scientific studies for increasing prices,Positif,Netral
"After the price rose, Sultan level loan customers asked the OJK authorities to pay",Negatif,Negatif
Leaked data discusses whether Jokowi's regime will focus more on finding a balanced solution for lower prices,Negatif,Positif
"It's been a long time since the price went up, I haven't bought any at all",Netral,Positif
"Demonstration against price increases disbanded, orange pots complained about trash and trash",Negatif,Netral
West Aceh gas station is closed. Residents hope prices will soon improve and the community's economy will recover,Positif,Positif
The president encourages regional governments to use a percentage of the budget component of the APBD general transfer funds themselves on the proceeds from the Dbh general allocation funds and resolve the issue of consequences according to prices,Positif,Positif
"Wow, Ms. Risma, people already know that world prices are going down. Nowadays, people are internet literate, so it's not a lie.",Positif,Negatif
"refused to raise the price, the crowd of demonstrators packed the horse statue all night long",Negatif,Netral
The legal umbrella is clear as long as it is really useful in order to solve the problem according to the price last week until the president said the meeting of all regional heads offline online at the state palace,Positif,Positif
President Joko Widodo asks regional governments to doubt whether budget allocations can allow regional regional spending to be resolved according to fuel prices,Positif,Positif
"Just right for shouting to lower the price and then dad said hushh, don't shout, deck hand in hand",Negatif,Positif
"Regarding the impact on prices, the Minister of Finance is firm in using the APBD",Netral,Netral
"price increases leaked data on electricity tariff plans to increase, sir, don't annoy the people, please work, work, but the results are not satisfactory, the people keep doing what they do for a long time",Negatif,Negatif
"according to Jokowi's price using the regional budget, the problem is solved",Negatif,Positif
aceh now since the price of fuel oil rose last week adi has started to save money on outgoing calculations,Positif,Positif
labor sentil madam maharani ning elitos crisis empathy people choke price bbmlewatonline,Negatif,Netral
Moeldoko's orderly price increase demonstration is definitely Jokowimaruf's order to be anti-criticism,Positif,Positif
It's useless to ask for prices to be lowered. Prices of basic commodities won't go down,Negatif,Negatif
"Sis who doesn't support the real Taikers, bomb move on, lost the DKI regional election because the candidate lost, just look at the real character, support the Taikers, hate Anistak, you can't survey the price of Petamini.",Negatif,Positif
"Yemen is stupid, what's the connection with the constitutionally mandated subsidy increase? Indeed, the constitution prohibits subsidized price increases, Lapindo, let's take care of it.",Positif,Positif
"Anticipating inflation due to rise, Pangkep Regent monitors commodity prices",Netral,Netral
demo rises demo of Russian ambassador Russian context oil prices rise,Netral,Netral
Go to the group to increase the marketing price of electric vehicles from China,Positif,Positif
Tire burning action refuses to increase prices,Positif,Positif
photo of student teaching workers taking to the streets to reject the increase in fuel prices online,Negatif,Negatif
"I'm smart, sis. Have you ever felt that the average salary in Jogja is already low and it goes up automatically and other prices also go up? It's nice to say that you guys are good at managing money, I'm talking about it, it's easy, just go out",Positif,Positif
Tairkayu Police handed over social assistance to the community due to rising prices,Netral,Netral
I'm running out of money if I want to be rich in Sri Lanka but if prices go up if the cost of living goes up it's almost better if the cost of living goes up and doesn't go up guarantee there's less stock now just thinking about where to go,Positif,Negatif
"According to the price of fuel oil, people are starting to feel the impact that the price of basic public transportation materials has increased",Positif,Positif
"Are you sure you won't accept the dawn attack hahahaha according to the price of the impact of the well-off people using the rights of the less well-off people, try to be self-aware and be ashamed of using the rights of the less well-off people like this, les",Negatif,Positif
"Don't talk about giving subsidies, ah, I'm just as annoyed as yesterday when I complained about wasteful subsidies and keep increasing prices",Negatif,Positif
President Jokowi hears students' aspirations regarding price increases,Netral,Netral
"Whenever there is a demonstration, even if the devil becomes president or an angel, prices will not remain fluctuating for long, where trading goods do not go up and down",Negatif,Negatif
"Look at the Trisakti students since they were rich, the sons of the sultan have gone down, the action feels the effect of increasing fuel, now they like Kasbon Warungkopkar, pretending to be happy with the price increase",Positif,Positif
number of economists in the United States are optimistic that the country will escape the economic recession gap. Prices need it every day. Millions of Americans show signs of falling prices. Prices in the United States tend to be stable compared to last April.,Positif,Negatif
A sea of ​​people full of Jakarta's streets refuse to increase prices,Positif,Positif
"Bhambhang is aware that world oil prices are actually going down, the country is lowering oil prices, even the private sector is going down, Indonesia's prices are going down, why is Pertamina actually being lowered, it's really high, so don't just take care of Anies, Tulil",Negatif,Negatif
"Even if you're good at winning, the price goes up",Positif,Positif
Prices increase: Tens of thousands of workers will storm the DPR building next week via news,Positif,Positif
"If the order is difficult, you have to adjust the subsidized price. What's the difference in using the words according to the price, the subsidized price increases, Pertamina said, the data solution for motorbikes is not on target and favors the rich",Positif,Positif
"If it's a matter of price, compare it with developed countries, but the poverty line compares with developing countries, if you need to compare it with Ethiopia, a bankrupt country, it's a modern term.",Negatif,Negatif
Prices have gone up. Self-esteem has gone up,Netral,Netral
price increases distribution of subsidized fuel remains limited,Negatif,Netral
"Ma'am, prices are going up",Netral,Netral
"If you dare to raise the price of the private fuel pump, you are a fool for Pertamina",Negatif,Positif
"The price goes up, the profit goes up, the KRL is safe",Positif,Positif
with price increases,Netral,Netral
Jokowi's price increase is one of the private car owners using Pertalite diesel via news,Positif,Positif
Andi Arief criticized the government's price increase as too much,Negatif,Positif
"It's okay if prices go up, salaries will also go up. If you want a salary that much, all food items will go up, that's fine",Positif,Positif
"price rises, head of the civil youth regime, an idiot who specializes in hitting the people, CC",Negatif,Negatif
"PKS cancels subsidized price increases, don't make it difficult for people in the midst of an economic situation that needs more stimulus. Price increases are difficult for people to recover after the pandemic",Negatif,Negatif
lika liku corporate boy drama of the bureaucrats in the middle of the people's price,Netral,Netral
Prices rose when Megawati Puan Maharani's rise was highlighted again in the news,Netral,Netral
general order increases the price,Netral,Netral
"Now subsidies have increased, all prices have increased significantly",Positif,Positif
"but it hasn't started yet, Bosstoto is building it using investors, not using his own funds, maseee, the price is going up naturally, Boss predicted",Netral,Negatif
fish workers three hook solution price increases,Positif,Positif
Households throughout Indonesia are increasingly being hit by rising subsidy prices,Netral,Netral
"What effect does the price have on the distance traveled? The price is like the effect of sending logistics, the same as the road, if the dirt road is expensive, logistics goes up, logistics also goes up.",Positif,Netral
Look how happy people in Bombay are when they know the final price has gone up,Positif,Positif
"Pertamina prices increase, the salaries of all Pertamina upstream and downstream energy employees decrease",Positif,Positif
"Indeed, it is not appropriate to increase prices to have the heart to not reduce Jokowi's presidential position. His decision is not appropriate to reduce the image of the public eye. Maintaining people's welfare remains stable. The priority is not the basis for removing subsidies.",Positif,Positif
"Prices are rising, people are screaming, it's just making things difficult for Mr Jokowi",Negatif,Negatif
"Yoi, the upper middle class doesn't understand the impact of rising purchasing prices on lower middle class people",Negatif,Netral
"Prices are rising in broad daylight, Democrats are imagining the little people, public transportation drivers in the middle of the road are in line",Netral,Netral
"Suddenly, fluctuations in the price of basic food commodities will be wild",Netral,Netral
The people are struggling to recover from the post-pandemic economy when Antam suddenly raises prices without empathy,Negatif,Negatif
"the burden on society and according to fuel prices, the impact of the increase in orders can guarantee that there will be no increase in raw materials, transportation, prices of basic necessities, the guarantee must be the same as if the public received a social cushion",Positif,Positif
"There are many types of gasoline prices, Sis Premium Pertalite Pertamax, so the price is high for subsidies, not non-subsidies",Netral,Netral
"prices are always standard, socio-economic world prices are far below world standards",Netral,Netral
Economists list the impact of rising food prices up to layoffs,Netral,Netral
"support according to fuel prices, stop subsidies for consumer goods",Positif,Positif
So the problem of increasing prices requires increasing the weight of the little people,Negatif,Negatif
orders to buy cheap Russian oil to prevent subsidy prices from rising,Positif,Positif
"Come on, DPR RI, don't just talk about it, just show that you, the people's representatives, will take the lead on the streets and reject price increases.",Negatif,Negatif
"Complaining about the price increase, isn't it the first time? Mr Jokowig's die hard account is proud to increase the price. Vote, Mr. Jokowi, don't be lazy about working, don't forget to increase your employee's salary, owner, vote.",Positif,Negatif
"Yes, Indonesia's prices are the cheapest compared to Japan, Germany, that's what Pak Jokowi said",Positif,Positif
"protection is better to protect the prices of basic necessities, vital healthy logistics, clear benefits",Positif,Positif
officially increased following the new price list,Positif,Netral
"You have to sell slowly first, so the price will go up and then it will be lowered, so people's sympathy will go up and down if you move the capital, there will be a lot of wasted projects, start designing.",Negatif,Negatif
"according to price, it is a form of the government's commitment to stop subsidies for consumer goods",Positif,Positif
"The labor party, trade union organization, took real action on a large scale against rising prices",Positif,Netral
"The subsidized price is not increased, the subsidy is reduced, understand",Negatif,Positif
"Then you have to regulate it according to the price, you can't price it below Pertamina's price, the reason is that all people need goods, don't be monopolized, government can't do business",Positif,Positif
"the most effective way to eradicate poverty is to increase expensive prices, perhaps the price of basic food will also increase. Poor people can't afford to buy and end up starving to death. Poverty is the result of eradicating",Negatif,Negatif
"I don't apologize, it's insulting, it's not personal for Jokowi as head of state to increase prices",Positif,Positif
"it's true, you just have to arrange your vehicle and don't fill the subsidy and don't increase the non-subsidy because helping the poor people is often not the right target while the poor people are affected by the new price wise",Negatif,Negatif
what happened to the increase in the price of small people giving up?,Positif,Positif
different price,Netral,Netral
"babbling again in euphemistic language, the price does not increase according to the price",Negatif,Positif
"Java rises six month demo, East Indonesia, price is tens of thousands silent",Netral,Netral
pros and cons wisely change the selling price for consumers,Positif,Positif
"Take the lead and take action to cancel price increases, don't just talk about social media like orders to see real people power",Positif,Negatif
"After the price rise, the Ciamis Police began monitoring the number of gas stations",Positif,Netral
"The community is responsive to price increases following Azis' comments from residents of Palopo City, South Sulawesi. Complete video, click the link below",Positif,Positif
"There is a little narrative that the price is said to be entering people's pockets, looking at the mall, it's full of anxiety, it's like that, the protests are rising to the point where there's a buzz",Negatif,Negatif
